Company Name,Scope of Work,Role,Contact,City,State,Work Phone,Mobile Phone,Fax,Email
Dirk's Demolition,,,,,,,,,
Dirk's Demolition,Demolition,Subcontractor,Dirk Jones,Minneapolis,MN,652.555.8520, , ,itunifiermessages@mortenson.com
Electric Works,,,,,,,,,
Electric Works,Electrical,Subcontractor,Bolt Thomas,Minneapolis,MN,952.555.4114,652.555.9546,952.555.4329,itunifiermessages@mortenson.com
Gordon Engineers,,,,,,,,,
Gordon Engineers,Engineering,Designer,Mike Gordon,Wayzata,MN,652.555.8520, , ,itunifiermessages@mortenson.com
Mortenson Construction,,,,,,,,,
Mortenson Construction,General,General Contractor,Alan Barber,Golden Valley,MN,763.287.0001,952.555.1234, ,itunifiermessages@mortenson.com
Mortenson Construction,General,General Contractor,Scott Hale,Golden Valley,MN,763.287.0000,952.555.1234, ,dylan.warzenski@mortenson.com
Precast Pros,,,,,,,,,
Precast Pros,Precast Concrete,Subcontractor,Pete Polletti,Excelsior,MN,652.555.8520, , ,itunifiermessages@mortenson.com
Rainbow Paint and Wallcovering,,,,,,,,,
Rainbow Paint and Wallcovering,Paint,Subcontractor,Bob Green,Green Bay,WI,652.555.8520, , ,itunifiermessages@mortenson.com
Silva Enterprises,,,,,,,,,
Silva Enterprises,Customer,Customer,Diana Silva,St Paul,MN,652.555.8520, , ,itunifiermessages@mortenson.com
"Super Steel, Inc.",,,,,,,,,
"Super Steel, Inc.",Steel,Subcontractor,Sam West,Minneapolis,MN,652.555.8520, , ,itunifiermessages@mortenson.com
